episode_id,title,description
abee9c58-1bcc-47a2-a6d7-2a57a4153570,"Программа ""Достойный собеседник"": Кирилл Бельченко","На этой неделе на Русском острове прошли первые Международные молодёжные студенческие игры. Спортсмены Дальрыбвтуза выступили с полной отдачей и добились выдающихся результатов. Руководитель сборной Дальрыбвтуза, преподаватель кафедры физвоспитания и спорта Кирилл Бельченко рассказал, как проходили игры и какие сложности пришлось преодолевать"
afe75af5-52ce購買,,
c7c3aaf2-1098-4197-afc8-46e3336db897,Абрамцево: здесь рождались шедевры,"Абрамцево — одна из самых известных усадеб России. Ее часто называют местом силы — и это не случайно. Здесь дружили и любили, мечтали и творили, создавали шедевры и занимались благотворительностью. Чувствуется в этом месте особая магия природы и творчества: кажется, что тут и дышится по-другому, и мысли в голову приходят совершенно неожиданные."
41725c6e-996d-4bbf-877a-a184a3b36477,Чем полезны продукты пчеловодства?,"Здоровое питание, продукты пчеловодства, диеты"
18c75960-09b5-4cd1-8f61-0ce278b,,
a991b080-1363-425e-b015-cfd44782d159,Mazda 6: Перевод с китайского,"Новая «шестерка», электрический лифтбек с задним приводом и китайской начинкой, придет на смену привычному модельному ряду седанов и универсалов Mazda 6"
71aa20a8-8c98-40d2-bc6c-e99cdf69ec5a,Чай,О чае?
acda8ec5-7a7f-4148-993b-761af79ddcb8,2020_04_09_16_43_44,Безработный отряд.
751a9f41-60bc-45c8-aaf4-25f421752cc7,Незнакомец из Петербурга: XCITE X-Cross 7,"В ряду отечественных автомобильных брендов пополнение. Первенцем XCITE, появившимся на свет на «Автозаводе Санкт-Петербург», стал среднеразмерный кроссовер X-Cross 7"
2fe6adc4-e446-4cea-bc14-aa3f898938cb,Воспоминания. Скучаю.,Душа томится в воспоминаниях о былом...
c874fa39-291a-4bf5-9079-09aab2190bdb,"Начала бегать, проводить игры и все готово к поездке в Питер","У меня какое-то невероятное количество энергии и меня прет:
- начала бегать
- обучилась на ведущего трансформационной игры и стала проводить
- организовываю поездку в Питер и многое другое"
3f8fa3a5-7569-463d-a055-487f102c1a44,Tập tạ khi mang thai và những điều cần lưu ý,"Phụ nữ ngày nay tự tin hơn khi tập tạ khi trong mang thai kỳ để vẫn giữ được sức khỏe cũng như vóc dáng sau sinh. Sinh một bé trai khỏe mạnh đã được 2 tuổi. Trần Minh Trang (29 tuổi, trú tại Hai Bà Trưng, Hà Nội) giờ đây vẫn tự hào chia"
45d81124-a13c-4000-9679-5441005b7b19,Здоровый сон/Как быстро уснуть ?,"В этом аудио треке я расскажу вам, как получать бодрый сон и как быстро заснуть..."
8ad065bf-4c72-4cf0-880d-20e8b0ab0af1,Начало,"Меня зовут Little Sister, давайте сделаем октябрь особенным!

Познакомимся поближе: https://t.me/sisterspiro"
6785d0a9-0fa3-4cf2-95ad-bc7f3176bca5,Giới Thiệu Hệ Thống Từ Trường Siêu Dẫn BTL Super Inductive System,"Bui ChucGiới Thiệu Hệ Thống Từ Trường Siêu Dẫn BTL Super Inductive System

   Hệ Thống Từ Trường Siêu Dẫn Công Nghệ Độc Đáo Vượt Trội BTL-6000 Super Inductive System.  – Liệu pháp “ Hệ Thống Từ Trường Siêu Dẫn ( SIS) “ của BTL với rất nhiều công nghệ mới. Công nghệ này dựa trên điện từ trường cường độ cao có ảnh hưởng tích cực đến

BTL - Thiết"
1bffe6cd-9330-425a-94fb-d285c3957361,Conclusion to the podcast,"Episode 6
 
 Welcome to the latest episode of my podcast «Hidden threat: daily eating of bank cards»
 
For me, the time spent searching for the information that interested me was truly amazing, I spent a lot of time reading, watching, figuring out and structuring(стракчаринг) the information presented in the previous episodes. 
At the end"
6bd8baf2-75ac-406e-a1df-d0251b5f3842,Бесплатный Сыр 4 Якобы авария,Бесплатный Сыр 4 Якобы авария by Виктор Недоспасов
f51e746d-3afd-4577-8b0c-2568578b710b,Утро. Кофе. Поболтать. Вторник 24.09,О природе и погоде
5cb6312a-7a73-4eb4-9011-019a16e733f2,01 По страницам нашей истории,"Экскурс в историю Нижегородской епархии вместе с игуменом Вознесенского Печерского мужского монастыря архимандритом Тихоном (Затёкиным). Цикл программ приурочен к 350-летию Нижегородской епархии, которое отмечалось в 2022 году."
83b37bf8-8e3d-4c52-8554-0af489ba6d60,Промо,"это пилотный выпуск моего канала ""мягко говоря"", где я рассказываю о чем будет канал и зачем вам его слушать, а также кто я такая и зачем я здесь"
